question_type,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,topics_covered
Arrays and linked lists,5,"\text{Define an almost universal family of functions as follows:} \\
\text{For any two distinct values from the domain of } n \text{ keys, the probability of randomly selecting a function from the family such that it returns the same value for both is bounded by } m^{-2/3}. \\
\text{The minimum table size } m \text{ such that if we randomly choose a function, the expected number of collisions is bounded above by 122 is } n^3. \\
\text{Let } X \text{ denote the table size } (n^3). \text{ A student constructed a table of size } 8X. \\
\text{In expectation, after how many trials can a function be found for which there are no collisions? Choose the tightest upper bound. Justify your answer.} \\
\text{a. } 1 \\
\text{b. } \frac{8}{7} \\
\text{c. } \frac{4}{3} \\
\text{d. } 2 \\
\text{e. } 4 \\
\text{f. } 8 \\
",B,"\textbf{Answer:} \\
b. $8/7$ \\
\textbf{Justification:} \\
One must put into the equations the expected number of collisions: $n$ over $2$ divided by $m$ to the power of $-2/3$ and see when it comes out less than $1/2$. \\
According to Markov's inequality, the expectation is $1/2$. If we enter $8X$ into the equation instead of $X$, we will find that the number of collisions is smaller by a factor of $4$ (due to the power of $2/3$). From this, it is eight times further from the expectation, and therefore the probability is $1/8$, and the probability of success is $7/8$. The expectation of a geometric variable is $8/7$.",Hash tables
Arrays and linked lists,5,"\begin{quote}
Given an array of $n$ integers between $1$ and $n^2$. Which of the following sorting methods will be the fastest asymptotically? 
A. Counting sort 
B. Radix sort 
C. Quicksort 
D. Merge sort 
E. Counting sort and radix sort will achieve the same asymptotic running time, which is the best running time 
F. Quicksort and merge sort will achieve the same asymptotic running time, which is the best running time
\end{quote}",B,"\textbf{Answer:} \\
b. Radix sort","Non-comparison based sorting (radix,   bucket,   counting)"
Recursive algorithms,3,"\textbf{A ""nearly sorted"" array is defined as follows: each element in the array is within a distance of up to logn places from its sorted position in the array.}
\textbf{What can be said about the running time of finding the median element in the array? Mark A true / B false and justify your answer.}
\textbf{It is possible to find the median using a binary search in the array, and therefore the running time is O(logn)}
\textbf{A. True}
\textbf{B. False}
\textbf{Justification:} ",B,"\textbf{Answer:} \\
(b) False \\
Binary search will not help – the array is not sorted.",Complexity analysis
Recursive algorithms,3,"\textit{Define a ""nearly sorted"" array as follows: each element in the array is within a distance of at most} \(\log n\) \textit{positions from its location in a sorted array. What can be said about the running time for finding the median in the array? Mark A correct / B incorrect and justify your answer. It is necessary to go through all the elements to find the median, therefore the running time is} \(\Omega(n)\) \textit{for finding the median.} 
A. Correct 
B. Incorrect 
Justification:",B,"\textbf{Answer:} \\
b. False \\
This is not correct - the additional information narrows the search range.",Complexity analysis
Recursive algorithms,3,"Define an ""almost sorted"" array as follows: each element in the array is up to logn positions away from its position in a sorted array.
What can be said about the runtime for finding the median element in the array? Mark A for correct or B for incorrect and justify your answer.
It is possible to reduce the search space to O(logn) possibilities and find the median in linear time, thus the search time is O(logn).
A. Correct
B. Incorrect
Justification: ",A,"\textbf{Answer:} \\
a. Correct \\
The median does not deviate more than \(\log n\)",Complexity analysis
Recursive algorithms,3,"\textbf{Define an ""almost sorted"" array as follows: each element is at a distance of up to \(\log n\) places from its location in a sorted array. What can be said about the running time for finding the median in the array? Mark A' true / B' false and justify your answer. It is necessary to go through at least \(\Omega(\log n)\) elements in order to find the median, and thus the running time is \(\Omega(\log n)\).} \\
\textbf{A. True} \\
\textbf{B. False} \\
Justification:",A,"\textbf{Answer:} \\
a. True \\
The elements are not sorted.",Lower bound for comparison based sorting
Recursive algorithms,3,"\begin{enumerate}
    \item Answer true or false to the following statement. (Mark 'a' for true / 'b' for false)
    \item Given only pre-order and post-order traversals, a general binary tree can be uniquely reconstructed.
    \begin{itemize}
        \item a. True
        \item b. False
    \end{itemize}
    \item Brief justification:
\end{enumerate}",B,"\textbf{Answer:} \\
b. Incorrect \\
\textbf{Brief explanation:} A counterexample - X is the root, in one tree Y is the right child, and in another tree Y is the left child.",Binary search trees
Arrays and linked lists,3,"\textbf{Answer true or false to the following statement. (Select A for true / B for false)}
\textbf{Given only a pre-order traversal, a binary search tree can be uniquely reconstructed.}
A. True
B. False
\textbf{Brief explanation:}",A,"\textbf{Answer:} \\
1. True",Binary search trees
Multiple choice with explanations,5,"Given a hash table implemented using the chaining method. The hash is composed of an array with 1,000 cells and currently contains about a million elements. Three operations are performed on it in sequence:
First operation: Adding an element that doesn't exist. Second operation: Deleting a random element that exists in the hash.
Third operation: Adding the element that was deleted in the second operation.
Let the expected running time of operation \(i\) be \(t_i\). What is the ratio between the running times of the 3 operations (assuming a new element is always added to the end of the chain)?
A. \(t_1=t_2=t_3\)
B. \(t_2 \approx 2t_3\), \(t_1=t_2\)
C. \(t_2 \approx t_3\), \(t_1 \approx 2t_2\)
D. \(t_2 \approx 2t_1\), \(t_1=t_3\)
E. None of the answers are correct

Explanation (required):",d,na,Hash tables
Multiple choice with explanations,5,"\textbf{Reminder for the SELECT(i) algorithm to find the i-th largest element:}
1. Divide the array into groups of five.
2. Sort each group.
3. Find the median of the medians of the groups by select (denote it by x).
4. Perform a partition on the array according to x (denote m the position where x arrived).
5. If i=m, return x. Otherwise, if i<m continue recursively on the left part with i, otherwise continue recursively on the right part with i-m.

\textbf{A student implemented the algorithm but made the following changes in steps 1-3 of the algorithm:}
1. Instead of groups of five, he worked with groups of seven.
2. In step 3, by mistake, he found the 5/7-th element, meaning instead of finding the median of the medians of the groups of seven, he took the 5/7-th element among the medians, which he found by select.

\textbf{What is the recurrence relation describing the running time?}
A. It is not possible to run the algorithm on groups of seven.
B. \( T(n) \le T\left(\frac{17n}{21}\right) + O(n) \)
C. \( T(n) \le T\left(\frac{25n}{49}\right) + T\left(\frac{4n}{7}\right) + O(n) \)
D. \( T(n) \le T\left(\frac{41n}{49}\right) + T\left(\frac{n}{7}\right) + O(n) \)
E. \( T(n) \le T\left(\frac{25n}{49}\right) + T\left(\frac{n}{7}\right) + O(n) \)
F. \( T(n) \le T\left(\frac{41n}{49}\right) + T\left(\frac{4n}{7}\right) + O(n) \)
G. None of the answers is correct

\textbf{Explanation (required):}",d,na,Selection and median-of-median algorithm
Multiple choice with explanations,5,"\begin{itemize}
    \item When performing delete on $v$, an internal node in a binary heap, the following actions are taken:
    \begin{enumerate}
        \item Swap $v$ with the rightmost leaf.
        \item Delete the rightmost leaf.
    \end{enumerate}
    What is the next step in the algorithm:
    \begin{enumerate}[label=\alph*.]
        \item This is not the implementation of delete in a binary heap.
        \item In a binary heap, only the minimum element can be deleted.
        \item Always perform Heapify-Up on $v$.
        \item Always perform Heapify-Down on $v$.
        \item Sometimes perform Heapify-Up on $v$ and sometimes Heapify-Down.
        \item None of the answers is correct.
    \end{enumerate}
    Explanation (required):
\end{itemize}",e,na,Binary heaps
Multiple choice with explanations,6,"\textbf{You were asked to implement the following data structure, assuming that all keys are distinct from each other and $n$ is the number of elements in the data structure:}

\begin{itemize}
    \item \textbf{Insert(a)} - Insert a key $a$ in amortized time $O(\log n)$.
    \item \textbf{Delete(a)} - Delete a key $a$ in amortized time $O(\log n)$.
    \item \textbf{Find(a)} - Find a key $a$ in amortized time $O(\log n)$.
    \item \textbf{Count(a,b)} - Return the number of keys with values between $a$ and $b$.
\end{itemize}

\textbf{Let $x_{a,b}$ be the number of keys between $a$ and $b$. Find the most efficient implementation (in terms of amortized runtime) for Count without affecting the runtimes of the other operations.}

\begin{enumerate}
    \item[(a)] The data structure can be implemented using a red-black tree. Count can be implemented in time $O(x_{a,b} \log n)$ by finding $a$ and applying successor until finding $b$.
    \item[(b)] The data structure can be implemented using a red-black tree. Count can be implemented in time $O(x_{a,b})$ by finding $a$ and applying successor until finding $b$.
    \item[(c)] The data structure can be implemented using a red-black tree with size fields for each node. Count can be implemented in time $O(\log n + x_{a,b})$ by finding $a$ and $b$ and performing a binary search between them in the tree.
    \item[(d)] The data structure can be implemented using a red-black tree with size fields for each node. Count can be implemented in time $O(\log n)$ by finding $a$ and $b$ and looking at the appropriate nodes along the path from the root to $a$ and from the root to $b$.
    \item[(e)] The data structure can be implemented using a red-black tree. Count can be implemented in time $O(n)$ by sorting the tree and finding $a$ and $b$ in the sorted array.
    \item[(f)] The data structure can be implemented using a red-black tree. Count can be implemented in time $O(n \log n)$ by sorting the tree and finding $a$ and $b$ in the sorted array.
    \item[(g)] None of the answers are correct.
\end{enumerate}

\textbf{Explanation including full implementation:}",d,na,"Amortized analysis,   Balanced BST (AVL,   B)"
Multiple choice with explanations,5,"\documentclass{article}
\begin{document}
The exam booklets are identified by the booklet number, which is a natural number between 1 and N. After grading the exams, the lecturers sorted the booklets so that booklet 1 is at the top of the stack and booklet N is at the bottom. On the way to the office, the booklets fell and got mixed in random order. Fortunately, the top √N booklets (indices 1 to √N) remained sorted. Unfortunately, all the bottom booklets (indices √N + 1 to N) are mixed in random order. This is how they arrived at the office.

To overcome the mishap and allow quick access to the booklets, the secretariat inserted them into a binary search tree by performing N insert operations according to the order the booklets arrived (the top = 1 first, and so on). Choose the most correct answer.
The worst-case search time in the worst order in the tree is (give the most tightly bound correct):
A. O(N).
B. O(log N).
C. O(N).
D. O(√log N).
E. No answer is correct.

Draw the tree and provide an explanation (mandatory):
\end{document}",c,na,Binary search trees
Multiple choice with explanations,3,"A Smart-Red-Black-Tree is a regular red-black tree that maintains a special pointer to the last node inserted into the tree (which is updated in O(1) work for each insert operation).

In addition to the regular insert operation, the tree is equipped with a successor-insert operation, which is a regular insert except that the search for the insertion point starts from the LAST node (which is reached via direct access through the special pointer). The tree is constructed by performing N regular insert operations of elements 1, 2, ..., N in increasing order. Choose the most correct answer (among different times, choose the tightest correct one).

A. The tree construction time is O(n \log n).
B. The tree construction time is O(n).
C. The tree construction time is O(n^2).
D. If the order of elements were arbitrary, the cost would be O(n \log n), but in the current order, the cost is O(n).

Short justification (required):",a,na,"Balanced BST (AVL,   B)"
Multiple choice with explanations,6,"\textbf{Given a Union-Find data structure according to the definitions learned in class. Additionally, for each root \(x\), a field \texttt{size} is maintained that indicates the number of elements in the set represented by \(x\). The implementation of the operations on the structure is identical to what was learned in class, but it does not include path compression in \texttt{FIND}. Also, the implementation of the \texttt{LINK} operation is different. Here is the pseudocode for the new operation:}

\begin{verbatim}
LINK (x, y)
If (x.size < y.size)
    Parent[x] = y
    y.size = y.size + x.size
Else
    Parent[y] = x
    x.size = x.size + y.size
\end{verbatim}

\textbf{In other words, the operation hangs the root of the smaller set on the root of the larger set and updates the \texttt{size} field accordingly. What is the worst-case runtime of the \texttt{FIND} operation (on the new implementation of \texttt{LINK} and the additional data in the question)? Choose the tightest bound.}

\begin{enumerate}
    \item O(1)
    \item O(\alpha(n))
    \item O(\log^* n)
    \item O(\log n)
    \item O(n)
    \item None of the answers is correct.
\end{enumerate}",d,na,"Complexity analysis,   Union-Find"
Multiple choice with explanations,na,"We want to color the nodes of a full binary search tree (i.e., every non-leaf node has exactly two children) in red and black, so that the coloring satisfies the rules of a red-black tree.
For each of the following statements, state whether it is true or false. Justify your answer.
A. If all the leaves are at the same distance from the root, then such a coloring necessarily exists. True / False.",1,"\textit{Reasoning: In this case, it is a whole entity. Coloring all the nodes in black is a legal coloring.}","Binary search trees,   Balanced BST (AVL,   B)"
Multiple choice with explanations,na,"\text{We want to color the vertices of a full binary search tree (i.e., every non-leaf vertex has exactly two children) in red and black so that the coloring satisfies the rules of a red-black tree. Write for each of the following claims whether it is true or not true. Justify your answer.} \\
\text{c. If the depth of the right subtree of the root is at most twice the depth of the left subtree of the root. True / Not true}",False,"\textit{Explanation: There can be a very large left subtree, and then we won't be able to ensure that the black height is the same across all paths.}","Binary search trees,   Balanced BST (AVL,   B)"
Multiple choice with explanations,6,"\textbf{Previous question:}

\textbf{Question 7 (6 points):}
The average search time over all elements when the order of notebooks from Set B is random, in the tree from the previous question is (give the lowest correct one):

\textbf{a.} $O(\sqrt{N})$.

\textbf{b.} $O(\log N)$.

\textbf{c.} $O(N)$.

\textbf{d.} $O(\sqrt{N} + \log N)$.

\textbf{e.} $O(\sqrt{N}\log N)$.",b,na,Binary search trees
Multiple choice with explanations,6,"\text{In class, we learned about a priority queue that allows insert and deletemin operations. We learned that it can be efficiently implemented within an array using a binary heap (we performed these operations in } O(\log n) \text{ where } n \text{ is the size of the queue). \text{ In this question, we are interested in a new structure, a protection queue, which in addition to the previous operations also allows delete-order(k) that removes the k-th largest element (k=1 is the minimum). We aim to perform this task in a structure residing in an array (like the binary heap) or arrays.}

\text{If } k \text{ is not known in advance but it is known that } k < \log n, \text{ then it is possible to implement the structure and perform insert and deletemin in } O(\log n) \text{ as well as:}

\text{a. Perform delete-order(k) in } O((\log n)^2). \\
\text{b. Perform delete-order(k) in } O(\log n \log \log n). \\
\text{c. Perform delete-order(k) in } O(\log n). \\
\text{d. Perform delete-order(k) in } O(n). 

\text{Brief justification and explanation of the implementation or algorithm (mandatory):}",c,na,"Complexity analysis,   Arrays and linked lists,   Binary heaps"
Closed question with short explanations,na,"\begin{enumerate}
    \item Given an array containing n elements. The number of distinct elements is k (𝑛 ≤ 𝑘).
    \item Sort the following asymptotic orders without explanation (𝑛 ≤ 𝑘):
    \begin{itemize}
        \item n \log n,
        \item n,
        \item n \log k,
        \item n + k \log k,
        \item n^2
    \end{itemize}
\end{enumerate}",na,"n^2, n\log{n}, n\log{k}, n+k\log{k}, n",Complexity analysis
Closed question with short explanations,na,"\text{Given an array containing } n \text{ elements. The number of distinct elements is } k \, (k \leq n). \\
\text{d. Assume the elements are integers between } 1 \text{ and } n^4. \text{ Propose a deterministic algorithm to sort the array.}",na,We will use the count sort algorithm as taught in class. \(O(n)\).,"Non-comparison based sorting (radix,   bucket,   counting),   OTHER"
Multiple Choice,5,"\textbf{The ""d-ary heap insertion position problem"" is the following problem:} Given a d-ary heap, represented by an array as learned in class. The root is at position 0, and the children of index i are at positions i·d+1, … , i·d+d. Additionally, a key is given that is not in the heap. We need to find the index where the key would be inserted at the end of the insertion process (the heap should not be modified). The insertion process is identical to the insertion process in a binary heap, except the parent of node i is located at the floor of (i-1)/d. It can be assumed that log and exponentiation operations take constant time.

What is the best running time to solve it?
A. \(O(1)\) 
B. \(O(d \log \log n)\) 
C. \(O(\log \log n - \log \log d)\) 
D. \(O(n \log \log d)\) 
E. \(O(\log \log n)\) 
F. \(O(\log n / \log d)\)",C,na,Binary heaps
Multiple choice with explanations,5,"The problem of ""finding the degree of a Fibonacci heap insertion tree"" is as follows: Given a Fibonacci heap represented by a list of tree roots, where the degree is given at the root (as we learned in class). Also, a key is given that is not in the heap. You need to find what the degree of the tree to which the key would belong at the end of the insertion process would be (the heap should not be altered).

What is the best running time for the solution?  
A. \(O(1)\)  
B. \(O(\log \log n)\)  
C. \(O(\log n)\)  
D. \(O(\log^2 n)\)  
E. \(O(n)\)  
F. \(O(n \log n)\)  ",A,na,"Binomial heaps,   Fibonacci heaps"
Multiple Choice,5,"\textbf{A student analyzed the running time of the binary counter data structure, as learned in the practice session.} \\
\text{Recall, the counter holds a binary number (initialized to 0) in an infinite array from index 0 (Least} \\
\text{significant bit, defined as the right side). The increment operation increases the counter value by 1 by} \\
\text{changing the contiguous 1s to the right of the first 0 to 0, and the first adjacent 0 to 1.} \\
\text{The student proposed the following potential function: the number of contiguous ones to the right} \\
\text{of the first 0. For example, if the stored number is 100100111011.. the potential value is 2.} \\
\text{The student used the formula learned in class to calculate amortized time: actual + } \\
\text{amortized = delta potential. What result will be obtained? Let n denote the number of increment operations.} \\
\text{A. Amortized time } O(1) \text{ for the increment operation.} \\
\text{B. Amortized time } O(1) \text{ for the increment operation when the value before the operation is odd, and } O(\log n) \text{ when the value before the operation is even.} \\
\text{C. Amortized time } O(1) \text{ for the increment operation when the value before the operation is even, and } O(\log n) \text{ when the value before the operation is odd.} \\
\text{D. Amortized time } O(\log n) \text{ for the increment operation.} \\
\text{E. Amortized time } O(n) \text{ for the increment operation.} \\
\text{F. The function is not valid for amortized time analysis.}",B,na,"Amortized analysis,   OTHER"
Multiple Choice,5,"\textbf{A student analyzed the running time of a binary counter data structure, as learned in the exercise.} 

\textbf{As a reminder, the counter holds a binary number (initialized to 0) in an infinite array from index 0 (least bit significant, defined as the right side). The increment operation increases the value in the counter by 1 by changing the consecutive 1s to the right of the first 0, and the first 0 adjacent to them to 1.}

\textbf{The student proposed the following potential function: [number of ones] minus [number of zeros up to the leftmost one]. For example, if the number stored is 100100111011.., the potential value is 2 (7 minus 5).}

\textbf{The student used the formula learned in class to calculate amortized time: actual + delta potential = amortized. What result will be obtained? Let n denote the number of increment operations.}

\begin{enumerate}
\item Amortized time of \(O(1)\) for an increment operation.
\item Amortized time of \(O(1)\) for an increment operation when the value before the operation is odd, and \(O(\log n)\) when the value before the operation is even.
\item Amortized time of \(O(1)\) for an increment operation when the value before the operation is even, and \(O(\log n)\) when the value before the operation is odd.
\item Amortized time of \(O(\log n)\) for an increment operation.
\item Amortized time of \(O(n)\) for an increment operation.
\item The function is invalid for analyzing amortized time.
\end{enumerate}",F,na,"Amortized analysis,   OTHER"
Multiple Choice,5,"\[
\text{Graph } G=(V,E) \text{ contains vertices } v_1, \ldots, v_n \text{ and } m \text{ edges } (m > n), \text{ which are pairs } (v_i,v_j). \text{ Assume that each vertex and edge can be accessed in } O(1). \text{ Let algorithm } A \text{ use the Union-Find data structure. The implementation of each set is by a linked list containing the members of the set (with a pointer to the head of the list). Each element points to the representative of the set. Make-set creates a list with one element, pointing to the representative (in time } O(1)). \text{ Find is in } O(1) \text{ because there is a pointer to the representative. The Union operation links the lists (in time } O(1)) \text{ and updates all members of the smaller set to point to the representative of the larger set in linear time relative to the number of elements in the smaller set (the structure was presented in the tutorial). The size of the set is stored in the representative and updated in Union.}
\]

\noindent
\text{Algorithm A:}
\begin{enumerate}
    \item \text{For each vertex } i = 1 \text{ to } n, \text{ perform Make-set}(v_i).
    \item \text{Iterate over each edge and check if } \text{find}(v_i) = \text{find}(v_j). \text{ If not, perform Union}(v_i, v_j).
\end{enumerate}

\noindent
\text{What is the worst-case running time for the union operation?}

\begin{enumerate}[label=\alph*.]
    \item O(\alpha(n))
    \item O(\alpha(m))
    \item O(\log n)
    \item O(\log m)
    \item O(n)
    \item O(m)
\end{enumerate}",E,na,"Complexity analysis,   Union-Find"
Multiple choice with explanations,5,"Given a red-black tree with a pointer to the maximum and minimum and two additional operations are added:
Insert-max – Insert an element (guaranteed to be larger than all other elements in the tree) as a child of the maximum. Update the pointer to the maximum.
Delete-min– Remove the minimum from its position. Update the pointer to the minimum by searching for the minimum element from the root.
Of course, after each deletion or insertion, corrections are made to the red-black tree, as learned.
Execute the following series of operations: Given a sorted array of size \( n \) and an empty red-black tree, perform Insert-max on the array elements from smallest to largest. Then, perform Delete-min until the tree is empty.
Provide the tightest possible bound on the runtime of the series of operations.
a. \( O(1) \)
b. \( O(\log \log n) \)
c. \( O(\log n) \)
d. \( O(n) \)
e. \( O(n \log n) \)
f. \( O(n^2) \)",E,na,"Complexity analysis,   OTHER"
Multiple choice with explanations,5,"\begin{enumerate}
    \item Reminder for the SELECT(i) algorithm to find the i-th largest element:
    \begin{enumerate}
        \item Divide the array into chunks of five.
        \item Sort each chunk of five.
        \item Find the median of the medians of the five-element groups using select and denote it as x.
        \item Perform a partition on the array based on x, marking m as the position to which x arrived.
        \item If m=i, return x. Otherwise, if i<m, continue recursively on the left side (elements smaller than x) with i; otherwise, continue recursively on the right side (elements larger than x) with i-m.
    \end{enumerate}
    A student implemented the algorithm, but in step 3 mistakenly found the maximum of the medians. That is, instead of finding the median of the medians of the five-element groups, he took the maximum among the medians of the groups, found by passing linearly over the medians. What is the runtime and does the algorithm guarantee a correct result?
    \item[(A)] O(n), and the algorithm is correct.
    \item[(B)] O(n \log n), and the algorithm is correct.
    \item[(C)] O(n^2), and the algorithm is correct.
    \item[(D)] O(n), and the algorithm is incorrect.
    \item[(E)] O(n \log n), and the algorithm is incorrect.
    \item[(F)] O(n^2), and the algorithm is incorrect.
\end{enumerate}",C,na,"Selection and median-of-median algorithm,   Complexity analysis"
Multiple Choice,5,"\textit{We define a family of functions (mapping $n$ keys to a table of size $m$) as almost universal: \newline
For any two distinct values from the domain of $n$ keys, the probability of randomly selecting a function from the family such that it returns the same value (among $m$ values) for both is bounded by $m^{-1/3}$. \newline
What is the minimum table size $m$ such that if we choose a function randomly from an almost universal family, the expected number of collisions is bounded by $\frac{1}{2}$? \newline
A. $n^{1/3}$ \newline
B. $n^{2/3}$ \newline
C. $n^{4/3}$ \newline
D. $n^2$ \newline
E. $n^3$ \newline
F. $n^6$}",F,na,"Hash tables,   OTHER"
Multiple choice with explanations,5,"\[
\text{Define a family of functions (mapping n keys to a table of size m) that is almost universal:}
\]
\[
\text{For any two different values from the domain of n keys, the probability of randomly selecting a function }
\]
\[
\text{from the family that returns the same value (out of m values) for both is bounded by } m^{-1/3}.
\]
\[
\text{Let } X \text{ denote the minimum table size such that if we randomly select a function from an almost universal family,}
\]
\[
\text{the expected number of collisions is bounded by 1/2.}
\]
\[
\text{A student constructed a table of size } 8X. \text{ After how many expected trials will you find a function with no collisions?}
\]
\[
\text{Choose the tightest upper bound.}
\]
\[
\text{A. 1}
\]
\[
\text{B. \frac{8}{7}}
\]
\[
\text{C. \frac{4}{3}}
\]
\[
\text{D. 2}
\]
\[
\text{E. 4}
\]
\[
\text{F. 8}
\]",C,na,"Hash tables,   OTHER"
Multiple Choice,5,"\begin{quote}
Define a structure of a dictionary containing $n$ words. The dictionary is divided into $n/k$ pages, with each page containing $k$ words (assume $n/k$ is an integer). The words are sorted such that every word on page $i$ is lexicographically before all the words on page $i+1$, but within each page, the words are not sorted. The pages are placed in an array, providing direct access to them, and each page is also an array of words, allowing direct access to them as well. Assume all words are distinct from each other and a comparison between two words takes $O(1)$ time. We want to implement a search operation for a word in the entire dictionary. What size of $k$ will allow the best asymptotic runtime?

\begin{enumerate}
    \item $k = \log n$
    \item $k = \frac{n}{\log n}$
    \item $k = 1$
    \item $k = \sqrt{n}$
    \item Answers \textbf{a} and \textbf{c} are equivalent and will provide the best asymptotic runtime.
    \item The size of $k$ is irrelevant, search time for a word will be the same for any value of $k$.
\end{enumerate}
\end{quote}",E,na,"Complexity analysis,   Arrays and linked lists,   OTHER"
Multiple choice with explanations,5,"\begin{quote}
We define the structure of a dictionary containing \(n\) words. The dictionary is divided into \(n/k\) pages, with \(k\) words on each page (assume \(n/k\) is an integer). The words are sorted such that every word on page \(i\) is lexicographically before all the words on page \(i+1\), but within each page, the words are not sorted. The pages are stored in an array, so there is direct access to them, and each page is an array of words, which are also directly accessible. Assume all the words are distinct from each other and comparing two words takes \(O(1)\). We want to implement a search operation for a word in the entire dictionary. What value of \(k\) will allow for the best asymptotic running time, assuming additionally that the words within each page are lexicographically sorted?
\begin{enumerate}
    \item \(k = \log n\)
    \item \(k = \frac{n}{\log n}\)
    \item \(k = 1\)
    \item \(k = \sqrt{n}\)
    \item Options a and c are equivalent and will yield the best asymptotic running time.
    \item The size of \(k\) is not important; the running time for a word search will be the same for every value of \(k\).
\end{enumerate}
\end{quote}",F,na,"Complexity analysis,   Arrays and linked lists,   OTHER"
Multiple choice with explanations,3,"\textbf{Define an ""almost sorted"" array as follows: every element in the array is at a distance of up to $\log n$ positions from its location in a sorted array. It can be assumed that the elements are distinct from each other. We will discuss the runtime of sorting the array. Mark True/False: The array can be sorted in time $O(n \log \log n)$. Add a brief explanation.}",1,na,"Complexity analysis,   Arrays and linked lists,   Lower bound for comparison based sorting"
Multiple choice with explanations,3,"\begin{quote}
Define an ""almost sorted"" array as follows: each element in the array is at a distance of up to $\log n$ places from its position in a sorted array. You can assume that the elements are distinct from each other. We will deal with the running time of sorting the array.

Mark correct / incorrect: The array can be sorted in time $O(n \log n)$.
Add a brief explanation.
\end{quote}",1,na,"Complexity analysis,   Arrays and linked lists,   Lower bound for comparison based sorting"
Multiple choice with explanations,3,"\textbf{Define an ""almost sorted"" array as follows: each element in the array is within a distance of at most $\log n$ places from its position in a sorted array. It can be assumed that the elements are distinct. We will discuss the runtime of sorting the array. Mark true / false: It is possible to reduce to the problem of sorting a general array and therefore the lower bound for sorting the array is $\Omega(n \log n)$. Add a short justification.}",False,na,"Complexity analysis,   Arrays and linked lists,   Lower bound for comparison based sorting"
Multiple choice with explanations,3,"\text{Write whether the following statement is true/false (assuming that the elements are distinct from each other):}\\
\text{Given 2 min-heaps of n elements each (each represented in an array), they can be combined into one min-heap of 2n elements in } O(n).\\
\text{Add a short explanation.}",1,na,"Complexity analysis,   Binary heaps"
Multiple choice with explanations,3,"\begin{quote}
State whether the following claim is true or false (it can be assumed that the elements are distinct from each other):
Given 2 binomial heaps, each with $n$ elements, they can be merged into a single binomial heap with $2n$ elements in $O(n)$.
Add a brief justification.
\end{quote}",1,na,"Complexity analysis,   Binomial heaps,   Fibonacci heaps"
Multiple choice with explanations,3,"\textbf{Write whether the following statement is true / false (it can be assumed that the elements are distinct from each other):} Given 2 binomial heaps of $n$ elements each, they can be combined into one binomial heap of $2n$ elements in $O(\log n)$. \textbf{Add a brief justification.}",1,na,"Complexity analysis,   Binomial heaps,   Fibonacci heaps"
Multiple choice with explanations,3,"\textbf{Write whether the following claim is true/false (it can be assumed that the elements are distinct from each other):} Given 2 red-black trees each with \( n \) elements, it is possible to join them into a red-black tree with \( 2n \) elements in \( O(\log n) \). \textbf{Add a brief argument.}",False,na,"Complexity analysis,   OTHER"
Multiple choice with explanations,5,"In the course, there are \(N\) students. The grades awarded in the course are any real numbers, and no two grades are identical. The instructors proposed four optional data structures for submission to the secretariat: 
1) A regular binary search tree with a size field. 
2) A red-black tree with a size field. 
3) A Fibonacci heap. 
4) A binary heap.

The secretariat must perform \(\sqrt{N}\) order statistics searches (such as finding the median score, the 100th largest score, etc.). The structures cannot be changed, and the auxiliary memory available for use is \(O(1)\).

We are interested in a structure that will minimize the asymptotic complexity of the secretariat's tasks (but not including the complexity of building the data structure by the instructors):

a. A Fibonacci heap and a red-black tree with a size field will deliver the best performance and will allow execution in \(\Theta(\log N)\).
b. The best performance that can be achieved on a regular binary search tree with a size field will cost \(\Theta(N \log N)\).
c. A binary heap will allow the task to be performed in \(\Theta(N \log \log N)\).
d. A red-black tree with a size field will deliver the best performance and will allow execution in \(\mathcal{O}(\sqrt{N} \log N)\).
e. A binary search tree with a size field and a red-black tree with a size field will deliver the best performance and will allow execution in \(\Theta(N)\).
f. None of the answers are correct.",D,na,"Complexity analysis,   Binary search trees,   Binomial heaps,   Fibonacci heaps,   OTHER"
Multiple choice with explanations,3,"In a course, there are \(N\) students. The grades awarded in the course are any real numbers, and no two grades are identical to each other. The lecturers proposed 4 optional data structures for submission to the secretariat:
1) A regular binary search tree with a size field. 2) A red-black tree with a size field. 3) A Fibonacci heap. 4) A binary heap.

The secretariat needs to perform \(\sqrt{N}\) order statistics searches (like finding the median score, the 100th largest score, etc.). The structures cannot be changed, and the auxiliary memory that can be used is \(O(1)\).

We are interested in a structure that minimizes the asymptotic complexity of performing the task by the secretariat (but not including the complexity of constructing the data structure by the lecturers).

Answer true/false:
In the above problem, in the worst case, the performance of a binary search tree with a size field will be asymptotically the same as those of a binary search tree without a size field.
A. True
B. False",A,na,"Complexity analysis,   Binary search trees"
